Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Petal.Ratio,Sepal.Ratio
1,5.1,3.5,1.4,0.2,Iris-setosa,6.999999999999999,1.457142857142857
2,4.9,3.0,1.4,0.2,Iris-setosa,6.999999999999999,1.6333333333333335
3,4.7,3.2,1.3,0.2,Iris-setosa,6.5,1.46875
4,4.6,3.1,1.5,0.2,Iris-setosa,7.5,1.4838709677419353
5,5.0,3.6,1.4,0.2,Iris-setosa,6.999999999999999,1.3888888888888888
6,5.4,3.9,1.7,0.4,Iris-setosa,4.25,1.3846153846153848
7,4.6,3.4,1.4,0.3,Iris-setosa,4.666666666666667,1.352941176470588
8,5.0,3.4,1.5,0.2,Iris-setosa,7.5,1.4705882352941178
9,4.4,2.9,1.4,0.2,Iris-setosa,6.999999999999999,1.517241379310345
10,4.9,3.1,1.5,0.1,Iris-setosa,15.0,1.5806451612903227
11,5.4,3.7,1.5,0.2,Iris-setosa,7.5,1.4594594594594594
12,4.8,3.4,1.6,0.2,Iris-setosa,8.0,1.411764705882353
13,4.8,3.0,1.4,0.1,Iris-setosa,13.999999999999998,1.5999999999999999
14,4.3,3.0,1.1,0.1,Iris-setosa,11.0,1.4333333333333333
15,5.8,4.0,1.2,0.2,Iris-setosa,5.999999999999999,1.45
16,5.7,4.4,1.5,0.4,Iris-setosa,3.75,1.2954545454545454
17,5.4,3.9,1.3,0.4,Iris-setosa,3.25,1.3846153846153848
18,5.1,3.5,1.4,0.3,Iris-setosa,4.666666666666667,1.457142857142857
19,5.7,3.8,1.7,0.3,Iris-setosa,5.666666666666667,1.5000000000000002
20,5.1,3.8,1.5,0.3,Iris-setosa,5.0,1.3421052631578947
21,5.4,3.4,1.7,0.2,Iris-setosa,8.5,1.5882352941176472
22,5.1,3.7,1.5,0.4,Iris-setosa,3.75,1.3783783783783783
23,4.6,3.6,1.0,0.2,Iris-setosa,5.0,1.2777777777777777
24,5.1,3.3,1.7,0.5,Iris-setosa,3.4,1.5454545454545454
25,4.8,3.4,1.9,0.2,Iris-setosa,9.499999999999998,1.411764705882353
26,5.0,3.0,1.6,0.2,Iris-setosa,8.0,1.6666666666666667
27,5.0,3.4,1.6,0.4,Iris-setosa,4.0,1.4705882352941178
28,5.2,3.5,1.5,0.2,Iris-setosa,7.5,1.4857142857142858
29,5.2,3.4,1.4,0.2,Iris-setosa,6.999999999999999,1.5294117647058825
30,4.7,3.2,1.6,0.2,Iris-setosa,8.0,1.46875
31,4.8,3.1,1.6,0.2,Iris-setosa,8.0,1.5483870967741935
32,5.4,3.4,1.5,0.4,Iris-setosa,3.75,1.5882352941176472
33,5.2,4.1,1.5,0.1,Iris-setosa,15.0,1.2682926829268295
34,5.5,4.2,1.4,0.2,Iris-setosa,6.999999999999999,1.3095238095238095
35,4.9,3.1,1.5,0.2,Iris-setosa,7.5,1.5806451612903227
36,5.0,3.2,1.2,0.2,Iris-setosa,5.999999999999999,1.5625
37,5.5,3.5,1.3,0.2,Iris-setosa,6.5,1.5714285714285714
38,4.9,3.6,1.4,0.1,Iris-setosa,13.999999999999998,1.3611111111111112
39,4.4,3.0,1.3,0.2,Iris-setosa,6.5,1.4666666666666668
40,5.1,3.4,1.5,0.2,Iris-setosa,7.5,1.5
41,5.0,3.5,1.3,0.3,Iris-setosa,4.333333333333334,1.4285714285714286
42,4.5,2.3,1.3,0.3,Iris-setosa,4.333333333333334,1.956521739130435
43,4.4,3.2,1.3,0.2,Iris-setosa,6.5,1.375
44,5.0,3.5,1.6,0.6,Iris-setosa,2.666666666666667,1.4285714285714286
45,5.1,3.8,1.9,0.4,Iris-setosa,4.749999999999999,1.3421052631578947
46,4.8,3.0,1.4,0.3,Iris-setosa,4.666666666666667,1.5999999999999999
47,5.1,3.8,1.6,0.2,Iris-setosa,8.0,1.3421052631578947
48,4.6,3.2,1.4,0.2,Iris-setosa,6.999999999999999,1.4374999999999998
49,5.3,3.7,1.5,0.2,Iris-setosa,7.5,1.4324324324324322
50,5.0,3.3,1.4,0.2,Iris-setosa,6.999999999999999,1.5151515151515151
51,7.0,3.2,4.7,1.4,Iris-versicolor,3.3571428571428577,2.1875
52,6.4,3.2,4.5,1.5,Iris-versicolor,3.0,2.0
53,6.9,3.1,4.9,1.5,Iris-versicolor,3.266666666666667,2.2258064516129035
54,5.5,2.3,4.0,1.3,Iris-versicolor,3.0769230769230766,2.3913043478260874
55,6.5,2.8,4.6,1.5,Iris-versicolor,3.0666666666666664,2.3214285714285716
56,5.7,2.8,4.5,1.3,Iris-versicolor,3.4615384615384612,2.035714285714286
57,6.3,3.3,4.7,1.6,Iris-versicolor,2.9375,1.9090909090909092
58,4.9,2.4,3.3,1.0,Iris-versicolor,3.3,2.041666666666667
59,6.6,2.9,4.6,1.3,Iris-versicolor,3.538461538461538,2.2758620689655173
